user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳霖成 ,https://www.google.com/maps/contrib/106327309089470312101/reviews?hl=zh-TW,5,True,597,新鮮牛肉好吃，炒牛肉系列火候控制很好，火鍋湯頭鮮美，無限薑絲/洋蔥醬油，價位偏高，值得來吃
 May Lai ,https://www.google.com/maps/contrib/110564124888681838137/reviews?hl=zh-TW,5,False,4,"很好吃的味道～
會讓人一直想吃～
價格要看每個人可以接受的啦～
環境舒適～
服務人員很棒～"
 TC Chen ,https://www.google.com/maps/contrib/107956786853632366424/reviews?hl=zh-TW,5,True,106,"雖然吃過的涮溫體牛僅此一家，但也正是因為這間好吃，讓我每次想吃溫體牛時都只來這間吃，大概吃過3～4次了，牛肉相當新鮮，也很喜歡各項炒牛肉的小菜，雖然廚師偶爾會把牛肉炒太熟偏硬，但還可接受。
每次下午5點營業開始沒多久，即使是平日也能迅速的高朋滿座，看得出這家店的魅力👍🏻"
 Wu Ker Shing ,https://www.google.com/maps/contrib/106418131214754082275/reviews?hl=zh-TW,5,True,714,肉質不錯，牛尾巴、牛筋也很好吃，吃得很飽大約七、八百，假日座位還算好訂，現場排也不用太久，缺點是內臟或麵線會太早賣完
 邱小咆 ,https://www.google.com/maps/contrib/105416130001661414037/reviews?hl=zh-TW,5,True,141,應該也吃了十幾年了，但都以外帶為主，因為全家人都喜歡重口味，湯及配料更是夠味！
 Yi Hsuan Lin ,https://www.google.com/maps/contrib/113536508473115811650/reviews?hl=zh-TW,4,True,16,"高雄來來的台南溫體牛火鍋
這個火鍋品牌是從高雄開上來的，主打台南直送溫體牛。

點了『中份火鍋湯底』再單點了『台南溫體牛』跟『酸白菜牛肉』。店家超貼心，因為疫情關係，還幫我們幫湯底分成兩小鍋，避免共食。火鍋即使分成了兩小鍋，看得出來料還是很足，有高麗菜、番茄、凍豆腐。湯的味道偏清淡，但涮完牛肉後喝還是很清甜的。

『酸白菜牛肉』好吃，牛肉不會炒得太老，還帶點粉紅色，酸白菜酸度適中，不僅開胃，脆脆的白菜口感也很好，適合下飯。

『台南溫體牛』不算少，感覺滿新鮮的，推薦。

整體環境很好，疫情關係店家把客人隔滿開的，既安全又衛生，尤其服務員貼心解說，還會想再來。

唯一缺點可能是沾醬不能自己調，不知道是不是疫情的關係，實在吃不慣醬裡的洋蔥？"
 安安 ,https://www.google.com/maps/contrib/112760292651921686084/reviews?hl=zh-TW,5,True,124,"吃的時候會懷念南部的牛肉湯
本日MVP是酸白菜牛肉酸度非常夠牛肉也嫩
湯頭是蔬菜熬不會重口卻清甜蘿蔔也燉的很軟是一場享受😎"
 T&T ,https://www.google.com/maps/contrib/101169910619485209699/reviews?hl=zh-TW,4,True,148,"一週來兩次。
覺得牛肉的品質，差異很大。
第一次牛肉來好吃到不行。
第二次真的很一般。"
 螺旋丸（小草哥） ,https://www.google.com/maps/contrib/110508117263429906250/reviews?hl=zh-TW,5,True,150,"聞香很久，終於在這天有足夠多人一起享用前來外帶。
我們約10人，但大多戰力薄弱，且還有買其他東西吃，店家建議大鍋底約7人食用，湯很夠，外帶也給的不手軟，害我在家找了好久的鍋子才裝的下，目測外帶高湯給4000～6000ml，但菜那些就少少，建議外帶都可以自己再另外買菜跟火鍋料。
點了兩份牛肉目測大約一份150-200g，溫體牛比較貴啦，但久久吃一次應該還好，另外點了牛雜跟牛筋，還有沒吃過的木耳漿（應該是花枝漿+木耳）滿好吃的木耳口感脆脆的，外帶漿類用小圓盒裝。肉看個人喜歡多熟，5-7分熟吃起來很嫩！牛雜也不腥很好吃，湯頭香又甜，佐料（洋蔥沾醬）給了兩包，薑絲兩包，因為是外帶忘記問這些應該要怎麼個吃法，如果第一次買還是可以多問問店員，只不過我才剛開門就去外帶，現場已經有4-5在外帶，店員滿忙的。

支援刷卡，付款方便
有機會想在店內吃。"
 次此 ,https://www.google.com/maps/contrib/102043987967953792633/reviews?hl=zh-TW,4,True,197,菜色很多，牛腮邊肉很好吃
 曹策勛（Shün Tsao） ,https://www.google.com/maps/contrib/103548522298425734686/reviews?hl=zh-TW,3,True,253,口味還行但就偏普，價格偏高，整體CP值不高
 Jerry Wen ,https://www.google.com/maps/contrib/114805799279346307654/reviews?hl=zh-TW,4,True,112,"還不錯吃的牛肉店！
用餐時間人潮多，建議先訂位喔！"
 Carolyn ,https://www.google.com/maps/contrib/106513520003297350772/reviews?hl=zh-TW,5,True,12,"上餐速度很快而且差一小時結束營業
牛肉本應已經售完因為有訂位還有多留兩份
實在感動🫠"
 Jeter Hunt (fb:HangPba) ,https://www.google.com/maps/contrib/109661651088120772942/reviews?hl=zh-TW,5,False,7,"寵物友善餐廳
沒養狗時就愛吃牛老大
溫體牛超讚
狗狗也可一起享用
推薦給愛牛肉及有養寵物的朋友😁"
 Chen Yun ,https://www.google.com/maps/contrib/101808307059898109640/reviews?hl=zh-TW,5,True,363,2個人點小鍋底+2盤溫體牛肉片+2碗飯+空心菜炒牛肉=$1150+10%
 Jackmo Chiu ,https://www.google.com/maps/contrib/116611363452981732148/reviews?hl=zh-TW,1,True,64,"之前疫情影響時來外帶，東西給的速度很快大概5分鐘左右即可（無炒肉的情況下）。最近疫情穩定，內用生意好之後，只是包個火鍋+肉+牛筋，都是生食竟然等了快20分鐘（我是外帶1號，前面只有兩組內用客人比我早）。客氣的問櫃檯說是不是有什麼品項要等比較久，因為跟之前的時間差很多，竟然一臉囂張的回答說：「我不知道啊，廚房就沒有給我東西。」
我可以理解疫情的影響大家生意都不好做，但為了拼內用翻桌率，能夠大小眼到犧牲外帶顧客的權益，這種只重自己利益的店家無論再好吃都不會想再去了"
 霏霏 ,https://www.google.com/maps/contrib/102652665462406032516/reviews?hl=zh-TW,1,False,92,"一個人來吃有低消一排員工沒感受到友善的態度對家庭的桌卻很溫柔差別待遇
吃得我壓力大不會再來了"
 黃重盛 ,https://www.google.com/maps/contrib/102086809992593473090/reviews?hl=zh-TW,5,True,23,新鮮溫體牛，配酒剛剛好，價錢公道，美食饗宴，歡迎體會。
 Jacob Chen ,https://www.google.com/maps/contrib/108026961169402275723/reviews?hl=zh-TW,4,True,33,"防疫期間要個人鍋，因此點個人套餐，590+10%

肉片略少，牛舌好吃"
 louisaa wang ,https://www.google.com/maps/contrib/102540913764212356064/reviews?hl=zh-TW,5,True,17,"✨喜歡我的美食分享~歡迎追蹤ig🔍food_ootd_style99
►►牛肉冬粉NT130

🍲在台北，想要吃到好吃的溫體牛肉鍋，第一個想到就是牛老大，疫情期間想念其滋味，外帶不失為一個好選擇💕

🍴如果一個人吃，很推薦可以點【牛肉冬粉】，湯頭與鍋底是一樣的味道，冬粉吸附滿滿湯汁，牛肉味四溢，濃淡鹹香適中，美味至極~❣️

👉雖然知道湯的熱量極高，還是會讓人忍不住整碗喝光光😅"
 一道彩虹 ,https://www.google.com/maps/contrib/116380146083343987363/reviews?hl=zh-TW,2,False,10,"自己覺得普通，感覺自己踩到雷了
現宰牛的店牛肉是很新鮮！
但火鍋湯底太清淡了，沾醬很普通、只有他們特調醬料跟薑絲辣椒醋而已。小炒類肉量普通、味道偏淡、不太夠味。醬料又很淡，整體吃起來覺得不好吃，可能本身我重口味的問題，可以來試看看新鮮的牛肉、但就是吃原味的感覺，至於夠不夠味每個人認知不同，我是覺得吃起來讓我一點胃口都沒有。"
 捷芙花禮坊（捷芙花禮坊） ,https://www.google.com/maps/contrib/117266059910310163909/reviews?hl=zh-TW,3,True,78,"牛肉軟嫩,牛料理多樣
但量不是太多,要吃飽
$要多備些"
 歐曜瑋 ,https://www.google.com/maps/contrib/107483989733789163639/reviews?hl=zh-TW,4,True,306,想念台南牛肉湯可以來解解饞（當然還是台南好吃）
 Yenhsuen Li ,https://www.google.com/maps/contrib/118349560183546551591/reviews?hl=zh-TW,4,True,121,"很推薦牛肉火鍋，會再訪！

1.鍋底：這次2個人用餐點了小鍋底，給料非常豐富，湯底的蔬菜甜味也非常棒。
2.牛肉盤：牛肉盤相對比較普通，份量還不錯但牛肉口感偏硬一些些，沒有預期中的軟嫩。
3.牛雜盤：大推，牛肝、牛腰、牛肚都非常新鮮好吃有特色~~❤️

因為人數較少沒能點到其他熱炒類，期待下次嘗試。"
 李奇申 ,https://www.google.com/maps/contrib/110525158066444344796/reviews?hl=zh-TW,5,True,401,"高雄品牌，北上開業的牛老大，在台北經營的非常成功👏👏👏，天然鮮甜的高湯，新鮮的每日台南直送的溫體牛肉，都讓整個牛老大火鍋的體驗完美。🥰
難怪平時人氣滿滿，一位難求
甚至疫情期間也都是訂單滿滿，佩服！"
 Maître du monde ,https://www.google.com/maps/contrib/100408105096116335903/reviews?hl=zh-TW,3,True,84,"肉很好吃！火鍋的湯也很好喝，全桌都喜歡～
但就是太貴了，牛肉燴飯的肉很少，然後麻油牛肉有點柴！我第一次吃溫體牛，不知道牛肉這樣碎碎的到底是不是正常的？！
如果餐具、醬料自取的話，那為什麼可以收服務費呢～要收服務費的話麻煩順便幫我煮火鍋😆
哈哈哈哈哈
結論：好吃但是貴，牛肉碎！（單押"
 Vince Lun ,https://www.google.com/maps/contrib/110283038170293835548/reviews?hl=zh-TW,1,True,40,"外帶份量少到驚人的地步
一人份都不到，價格還沒有比較低
疫情期間雖然辛苦，但外帶這樣的的份量跟價格真的太誇張了"
 tingting su ,https://www.google.com/maps/contrib/106592678540785105858/reviews?hl=zh-TW,4,True,413,牛肉肉質不錯湯頭還可以
 蔡佳勳 ,https://www.google.com/maps/contrib/106050831930700346378/reviews?hl=zh-TW,5,True,846,"鍋底有三種大小，店員推薦我們七人點大鍋底，吃起來真的剛剛好，不太需要再加點菜或豆腐。湯頭喝起來滿清爽，味道還不錯。
我們點了一盤現宰牛肉和牛腩，可惜沒能點到牛小排，要等現宰牛肉賣完才能點哦！
另外還點了一份空心菜炒牛肉和牛舌冷盤。
覺得店家的蒜頭醬油很香，搭配牛肉和牛舌很好吃，現宰牛肉是一小片一小片的，涮幾秒很快就熟，吃起來很嫩，有台南牛肉湯的味道！
我們吃宵夜點一盤牛肉還滿夠的，但如果很喜歡吃牛肉或男生比較多，可能就要點2-3盤，一盤的份量大概3-4人份。
炒類也很推薦，味道很香很下飯。"
 SHU HAO CHANG ,https://www.google.com/maps/contrib/107315626941150773094/reviews?hl=zh-TW,5,True,83,剛好路過卻看到大排長龍，一問之下，沒想到兩個人小桌剛好有位置，變冷的天氣喝碗牛肉湯在適合不過，還遇到一個小個子男店員服務非常專業，解釋詳細又給了很好的建議，下次再來！
 chihhung chiang ,https://www.google.com/maps/contrib/106005720886343194953/reviews?hl=zh-TW,4,True,28,點的菜都賣完了，怒喝牛肉湯，內用+10%
 廖明 ,https://www.google.com/maps/contrib/111727096255365806777/reviews?hl=zh-TW,4,True,402,"特色就是唰鮮牛肉片！熱門炒菜/酸白菜牛肉片、牛舌冷盤、炒牛腰子，湯鍋有基底材料（白菜、凍豆腐、豆皮、蕃茄）可以外加花支漿、牛尾、（鮮牛肉唰燙）入鍋以增湯品的鮮甜美味！
有啤酒、烏梅汁可以助興，開車請勿喝酒！"
 Keigo Weng ,https://www.google.com/maps/contrib/113834388750392326032/reviews?hl=zh-TW,5,False,5,"米其林必比登推薦的好店值得來光顧
新鮮的食材加上美味的湯頭
無論是大人和小孩都可以吃得很開心
很適合朋友聚餐的好地方"
 Chi-Yu Chen ,https://www.google.com/maps/contrib/112529507896363153701/reviews?hl=zh-TW,1,True,41,湯裡發現小蟑螂，通知店家也沒有很積極處理，溫體牛吃起來口感偏硬，絕對不會回訪的店。
 Vicky Kao ,https://www.google.com/maps/contrib/109441422084348642836/reviews?hl=zh-TW,1,True,61,"現場吃過幾次，沒想到外帶份量少成這樣，每份的份量大概都是現場的1/2，但售價不變。

如果要做外帶請對的起店家良心，否則只會砸了自己招牌。"
 謝甜甜 ,https://www.google.com/maps/contrib/117270902422030401194/reviews?hl=zh-TW,5,True,9,"生啤酒冰杯超級加分～
物美價廉～❤️"
 029-張珍永 ,https://www.google.com/maps/contrib/105485710125373669580/reviews?hl=zh-TW,5,False,9,溫體牛肉直接加熱湯川燙，牛肉嫩，湯鮮美，天氣冷的時候來一碗，暖心又暖胃！
 Michael Chen ,https://www.google.com/maps/contrib/102713633501352204546/reviews?hl=zh-TW,1,True,36,點了不同的炒牛類，但份量實在少到離譜，用其他餐廳裝小菜的容器來裝但竟然沒有裝滿！每一樣還要兩百多元！太誇張了！
 J H ,https://www.google.com/maps/contrib/115747627544193678521/reviews?hl=zh-TW,1,False,6,牛腩品質變差，以往都切比較小塊，今天是切很大塊且很乾也咬不斷。更可惡的是店家的態度，反應後櫃檯小姐用很不負責任的態度說，喔也有其他客人也有反應，但是廠商給我們的肉就是這樣！
 趙子辰 ,https://www.google.com/maps/contrib/100708947810384838941/reviews?hl=zh-TW,5,True,22,"尖峰時段來等了一陣子才有位子
牛肉很嫩，湯頭鮮美
喜歡吃牛肉的朋友可以來試試"
 沖田总悟 ,https://www.google.com/maps/contrib/111037470908547386798/reviews?hl=zh-TW,4,True,"1,139",2020116原本以為是像肉老大一樣的火鍋店，男友說是高雄開上來的，牛肉產地在台南，因此這間便是吃牛肉火鍋或牛肉熱炒，一進去十分熱鬧，沒訂位所以被帶進最裡面的位置，鍋底選小的，其實很大鍋，加點當日現宰台灣牛肉和牛雜及牛舌冷盤，牛肉涮幾下就可以吃了，很軟嫩鮮美，牛雜有牛心、牛肚（毛肚）、牛腰子、牛肝，牛心不要煮太久比豬肝嫩牛肝也是，牛腰子有QQ的口感，牛肚很脆看起來是黑色，卻意外的不錯吃，牛舌有口感，醬料自取，牛肉不沾比較能吃出鮮度，下次來吃熱炒的部份，看炒牛肉也很多人點
 邱子瑀 ,https://www.google.com/maps/contrib/102172873831108673381/reviews?hl=zh-TW,5,False,2,消費過幾次份量跟口味都好吃小姐雖然忙碌還是很面面俱到會想要常常回購
 洪玉婷 ,https://www.google.com/maps/contrib/106500146554202075144/reviews?hl=zh-TW,5,False,168,"無可挑剔的溫體牛🐮/湯頭越煮越濃郁～
芥蘭炒牛肉/牛舌/牛雜/花枝漿非常對味👍🏾"
 kidultamanda ,https://www.google.com/maps/contrib/113390015457679936481/reviews?hl=zh-TW,4,True,232,"一定要先訂位！專賣各式牛肉料理和火鍋，建議人多一點好點菜。
週末晚和朋友無意間路過，不到六點小等了一下，點了小鍋底和牛肉牛雜牛尾，真心大推牛尾，滿滿滿滿的膠原蛋白啊～吃了嘴巴超黏，還會再來！"
 沈啟鴻 ,https://www.google.com/maps/contrib/110495882046395298803/reviews?hl=zh-TW,5,True,"1,142",湯頭甘甜不過鹹，現切台灣牛新鮮好吃，可以外帶鍋底回家自煮。內用環境還不錯，位子不會太擁擠，廁所乾淨整潔。限時90分鐘。服務人員態度都很不錯。這邊的洋蔥醬汁真的很搭牛肉火鍋。
 Huang Tim ,https://www.google.com/maps/contrib/116092383626567242504/reviews?hl=zh-TW,5,True,"1,122",牛肉都是當天現宰新鮮溫體牛肉，肉質新鮮軟嫩，偏暗紅色澤，真材實料的台灣溫體牛肉，刀切後自然捲曲成不規則條狀滾湯中五秒涮牛肉的絕佳美味，牛肉嫩得不像話，極度鮮甜香嫩，牛老大創業已經超過20個年頭，一直到現在仍堅持使用當天現宰最新鮮的溫體牛肉，而高湯則是用大量的蔬果去熬製，牛腩肉質軟嫩且帶點筋，所以同時又能吃到Q彈的嚼感，牛尾具有豐富的膠質，吃起來也是非常Q彈；還有獨家特調沾醬，有大量的洋蔥和蔥花，搭配蒜苗、辣椒、蒜泥等，讓整體香味更為提升，另外再加上些許薑絲，還有南部上來的醬油，味道不會死鹹。還有很多熱炒冷盤，真的每一樣都想要點來吃看看！
 Ivan Tsai ,https://www.google.com/maps/contrib/117413537023771472000/reviews?hl=zh-TW,4,True,38,"湯頭鮮甜、不會太鹹。
溫體牛的口感不錯、也沒有一般牛騷味。
來之前要先訂位、當場等會等很久。"
 DEBBY ,https://www.google.com/maps/contrib/113511169157420265855/reviews?hl=zh-TW,5,True,254,"第一次到「牛老大」用餐，店員親切介紹點餐方式，用餐環境舒適乾淨。

湯頭都是用新鮮的果菜熬煮，牛肉完全沒有牛腥味，肉質非常好吃，很適合大小聚餐，下次還會光臨。"
 jenniful Liu ,https://www.google.com/maps/contrib/115820310602426331693/reviews?hl=zh-TW,5,True,35,"湯頭清甜❤️可以在請店家加湯
溫體牛肉很新鮮、軟嫩！不過記得不要刷太久
牛舌切片比想像中的厚，不過還是好吃有口感
現炒的小菜也都有一定水準！讚
而且溫體牛肉直接現切裝盤，直接自己把關！好吃"
 CL “Maggiehung” H ,https://www.google.com/maps/contrib/100702904937233047965/reviews?hl=zh-TW,4,True,104,"湯頭很好
要記得訂位避免現場等候太久
肉體現切，整天的食物都沒有地雷
店內有嬰兒座椅"
 倪倪 ,https://www.google.com/maps/contrib/105414008301710491187/reviews?hl=zh-TW,4,True,117,"第一次來吃，點了火鍋湯底、當然現宰台灣牛肉、辣花枝漿、空心菜炒牛肉、白飯。
火鍋湯底白蘿蔔、番茄、高麗菜熬的口味清甜但不算特別出色，可選擇的火鍋加點料選擇性少，湯底裡面的凍豆腐口感太塑膠不太好吃，建議可以換叫別廠牌的。
花枝漿蠻好吃的，而且吃得到很多花枝的口感，火鍋必點。
牛肉盤肉質中上，切成不規則的薄片，吃起來類似台南牛肉湯的感覺。
我個人比較驚艷的是空心菜炒牛肉，味道與湯汁比例、肉的熟度都拿捏的很好，也不會油膩，非常下飯，單吃不會太死鹹，下次想吃看看、韭黃炒牛肉及牛肉燴飯。
值得一提的是，白飯煮的非常優秀，粒粒分明、軟硬度與米粉的q度都很用心，有點讓我嚇到，也沒有飯鍋那種泛黃悶味。
整體牛肉還是主題，沒吃過還是能來嘗試看看的餐廳。"
 金瓘瑜 ,https://www.google.com/maps/contrib/117643264732562047187/reviews?hl=zh-TW,5,True,43,"湯頭超好喝
溫體牛很嫩
重點是寵物友善就算了
老闆娘還燙了一碗牛肉請狗狗吃
真的很貼心"
 Enjoy C ,https://www.google.com/maps/contrib/108504180797703742127/reviews?hl=zh-TW,5,True,75,"每次都外帶回家享用，很夠水準，新鮮現宰牛肉。
強烈推薦的自然美食。"
 Fecia Cu ,https://www.google.com/maps/contrib/102650912863061253447/reviews?hl=zh-TW,4,True,397,火鍋涮牛肉雖不像台南的一般軟嫩但是這家涮牛肉咀嚼後有一種牛肉脂肪香氣挺迷人的火鍋湯一開始沒什麼味道煮到後面就滿鮮甜的但是火鍋附的凍豆腐真的很難吃很像在咬豆渣～另外點的三道熱炒苦瓜牛還有酸菜牛跟豆乾牛都很推薦只是太晚去的話白飯跟青菜很容易就沒了～
 施辛西亞 ,https://www.google.com/maps/contrib/109535831680256761700/reviews?hl=zh-TW,5,True,18,溫體牛肉非常棒，鍋底清甜，服務也很棒。但用餐時間限定為90分鐘，週末人潮多建議先預約訂位
 Allen Chien ,https://www.google.com/maps/contrib/108256479781760994112/reviews?hl=zh-TW,4,True,"1,872",甘甜的湯頭，加上現宰台灣牛，放在高湯涮幾秒，就非常好吃，不像一般肉片會有肉渣沫湧現。炒菜類偏貴。台北的份量比高雄少。經常客滿，需要排隊或預訂。
 fashion dress DNA ,https://www.google.com/maps/contrib/106624597042892884108/reviews?hl=zh-TW,5,True,48,生牛肉火鍋湯鮮味美炒菜類價格實在環境乾淨小動物友善環境～
 Hsin-I Chiu (Iris) ,https://www.google.com/maps/contrib/110391067312851972796/reviews?hl=zh-TW,3,True,167,"現場等的話都要等一個小時,建議要先訂位。湯頭不錯，炒菜系列都很不錯，份量不多就是了。4個人約吃1500～1600(吃得很節制)"
 毛毛 ,https://www.google.com/maps/contrib/114992367687745298258/reviews?hl=zh-TW,3,True,164,口味不錯但涮牛肉的肉有點薄又小感覺比較像是喝湯喝到飽雖然價格不高但其實量少炒牛肚整盤都薑絲
 Rei-fong Chen (睿烽山羊) ,https://www.google.com/maps/contrib/109794112056660152105/reviews?hl=zh-TW,4,True,474,"台北難得的鮮涮牛肉店
肉新鮮，甜美
湯頭熬製有清甜味
牛舌柔軟很值得一點

推薦牛肉放到大鍋中半涮
更推薦牛肉放到小碗中，加薑絲，淋湯
台南正統吃法
可以喝到最鮮美的肉汁"
 Aden Lee ,https://www.google.com/maps/contrib/103846878842619107382/reviews?hl=zh-TW,4,True,92,"鍋物好吃，火鍋熱湯用來沖生牛肉非常好吃，湯頭自然鮮甜
但炒菜類就不怎麼樣
總體價格偏貴"
 George Chou ,https://www.google.com/maps/contrib/101246916157313233874/reviews?hl=zh-TW,4,True,996,湯頭甜，牛肉片稍微川燙，即可吃到軟嫩口感，最好提前打電話預約，才不會久候
 袁安怎 ,https://www.google.com/maps/contrib/106645186388123221441/reviews?hl=zh-TW,5,True,11,"吃過一次回不去了，真的好吃
真心建議不要一次點太多，會很飽
價格的部分見仁見智，畢竟一分錢一分貨
但我今天真的是大滿足，舒服啦！"
 Hui-Ying Yu (Nicole) ,https://www.google.com/maps/contrib/103599660404812243198/reviews?hl=zh-TW,4,True,98,好吃耶！而且CP高！湯頭有不錯😬
 Transform Yang ,https://www.google.com/maps/contrib/105947093582999784973/reviews?hl=zh-TW,4,True,184,來這邊吃了好幾次，價格跟台南的牛肉湯普遍差不多，雖然是高雄的招牌但是喝牛肉湯有回到南部的感覺，還算好喝，不過肉質有時候差滿多的，有時候很嫩，有時整碗大部分都很硬，這家的好處是可以刷卡但內用需要加一成服務費，是一家還會再光顧的店
 Coco Lin ,https://www.google.com/maps/contrib/102046273389522600678/reviews?hl=zh-TW,4,True,289,"首先，很多評論說店員態度不好，我覺得完全不會欸～畢竟他們很忙，而且上菜速度很快，收桌速度也很快～
鍋底很鮮甜，溫體牛超好吃，軟軟嫩嫩，味道也不是很重，牛雜我就比較還好，比較喜歡腰花而已～花枝漿和蝦仁漿都激推！都很有料！想嚐鮮蛋腸，結果賣光了，超失望⋯
會想回訪的店✨"
 內向害羞古意奇 ,https://www.google.com/maps/contrib/110280472600948526632/reviews?hl=zh-TW,5,True,30,蔬菜與牛肉的清甜～現沖牛肉湯～真的超棒～溫體牛肉味道好級啦～熱炒都很下飯……吃起乃～
